2026-09-24 03:17:23.421 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'az'
2026-09-24 03:17:54.457 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'za'
2026-09-24 03:18:16.748 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'hilo'
2026-09-24 03:18:33.903 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 03:18:51.213 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 03:19:11.887 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Bike Light'
2026-09-24 03:19:49.240 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Onesie'
2026-09-24 03:20:19.439 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Bolt T-Shirt'
2026-09-24 03:20:48.456 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Fleece Jacket'
2026-09-24 03:21:12.704 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Backpack'
2026-09-24 03:28:43.118 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'az'
2026-09-24 03:28:59.145 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'za'
2026-09-24 03:29:47.102 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Bike Light'
2026-09-24 03:29:47.535 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 03:29:47.772 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 03:29:58.694 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Onesie'
2026-09-24 03:29:58.830 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 03:30:11.121 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Bolt T-Shirt'
2026-09-24 03:30:11.273 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 03:30:11.474 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 03:30:19.893 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Fleece Jacket'
2026-09-24 03:30:36.909 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Backpack'
2026-09-24 03:41:06.485 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Bike Light'
2026-09-24 03:41:06.677 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 03:41:07.215 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 03:41:27.510 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Onesie'
2026-09-24 03:41:27.691 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 03:41:42.441 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Bolt T-Shirt'
2026-09-24 03:41:42.606 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 03:41:43.426 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 03:41:59.049 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Fleece Jacket'
2026-09-24 03:42:16.949 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details for: 'Sauce Labs Backpack'
2026-09-24 04:05:42.547 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bike Light'
2026-09-24 04:05:43.035 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 04:05:43.549 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 04:06:23.649 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 04:06:23.970 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:06:40.905 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bolt T-Shirt'
2026-09-24 04:06:41.051 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 04:06:41.855 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:07:01.098 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Fleece Jacket'
